"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Docker", "JavaScript", "Go Checksum File", "Go", "Vue", "MS SQL", "YAML", "Dotenv", "SCSS", "XML", "HTTP", "Go Module File", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\api\video.js", "JavaScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 51
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataModel\AboutSite.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 106
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataModel\AddPlaylist.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 118
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\DataModel\PlaylistUpdate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 137
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Nav\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 415
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Pagination\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Player\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 415
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\Provider\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 124
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\components\SearchInp\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 518
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\main.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 34
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\naive-ui.d.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\router\index.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 52
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\router\routes.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 53
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\store\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\store\musicData.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 4, 135
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\store\settingData.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 77
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\store\userData.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\style\global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 16, 13, 106
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\style\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 7, 5, 31
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\MusicFrequency.js", "JavaScript", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 110
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\debounce.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 29
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\formRules.js", "JavaScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 55
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\lyricFormat.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 35
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\request.js", "JavaScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 79
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\throttle.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 33
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\timeTools.js", "JavaScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 6, 91
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Artist\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\History\HistoryView.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Home\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Login\LoginView.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Search\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
