"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "Vue", "HTML", "TOML", "YAML", "Docker", "HTTP", "XML", "SCSS", "Go Module File", "Python", "Go Checksum File", "Dotenv", "Go", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\store\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\store\musicData.ts", "TypeScript", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 5, 290
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\store\settingData.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 77
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\store\userData.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\style\global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 16, 13, 106
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\style\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 7, 5, 31
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\MusicFrequency.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 32, 4, 110
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\debounce.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 2, 29
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\encrypt.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 20
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\formRules.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 7, 1, 55
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\lyricFormat.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 15, 11, 83
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\request.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 21, 191
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\test_lyric.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 8, 45
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\test_lyric_merge.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 11, 13, 77
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\throttle.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 3, 33
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\timeTools.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 30, 7, 95
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Album\index.vue", "Vue", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Artist\index.vue", "Vue", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\History\HistoryView.vue", "Vue", 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 229
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Home\index.vue", "Vue", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 130
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Login\LoginView.vue", "Vue", 0, 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 249
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Playlist\PrivatePlaylists.vue", "Vue", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Playlist\PublicPlaylists.vue", "Vue", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Playlist\index.vue", "Vue", 0, 0, 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 371
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Search\index.vue", "Vue", 0, 0, 0, 0, 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37, 440
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Setting\SettingView.vue", "Vue", 0, 0, 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 293
