"filename", "language", "TypeScript", "Markdown", "JSON", "Vue", "TOML", "HTTP", "HTML", "Go Module File", "Python", "YAML", "Go Checksum File", "Go", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\request.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -65, -6, -8, -79
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\request.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 21, 191
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\test_lyric.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 8, 45
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\test_lyric_merge.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 11, 13, 77
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\utils\timeTools.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Album\index.vue", "Vue", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Artist\index.vue", "Vue", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\History\HistoryView.vue", "Vue", 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 228
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Home\index.vue", "Vue", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 109
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Login\LoginView.vue", "Vue", 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 248
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Playlist\PrivatePlaylists.vue", "Vue", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Playlist\PublicPlaylists.vue", "Vue", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Playlist\index.vue", "Vue", 0, 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 371
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Search\index.vue", "Vue", 0, 0, 0, 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36, 439
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Setting\SettingView.vue", "Vue", 0, 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 292
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\Song\SongView.vue", "Vue", 0, 0, 0, 423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 58, 495
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\System\StatsView.vue", "Vue", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\User\index.vue", "Vue", 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 284
"c:\Users\lrj32\Desktop\music player\localmusicplayer\src\views\User\like.vue", "Vue", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\lrj32\Desktop\music player\localmusicplayer\vite.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4
"Total", "-", 697, 42, 800, 4087, 45, 162, 70, 9, 198, 31, 22, 1270, 0, -739, 342, 768, 7804
